"site","seasonality","mean_temp"
"Altajskij_Bele",26.1590163934426,7.7551912568306
"Altajskij_Yailu",28.9049180327869,9.58852459016394
"Amga(Hatin)",52.1196721311475,-1.71680327868852
"Apatity (Murmansk)",30.1868852459016,2.83032786885246
"Bajkal'skij",34.3016393442623,1.31079234972678
"Barguzinskij_Plant_Loc-4",39.0377049180328,2.1818306010929
"Bashkiriya",35.2196721311475,7.36420765027323
"Bolshaya Kokshaga",34.9655737704918,7.61775956284153
"Braslavskie Ozera",28.0852459016393,9.63196721311476
"Brjanskij les",30.5491803278689,9.925
"Bryanskiy Les_Plant_Loc-1",30.2213114754098,10.0333333333333
"Bryanskiy Les_Plant_Loc-10",30.0688524590164,9.98688524590164
"Bryanskiy Les_Plant_Loc-11",30.272131147541,10.0209016393443
"Bryanskiy Les_Plant_Loc-12",30.272131147541,10.0209016393443
"Bryanskiy Les_Plant_Loc-13",30.272131147541,10.0209016393443
"Bryanskiy Les_Plant_Loc-14",30.272131147541,10.0209016393443
"Bryanskiy Les_Plant_Loc-15",30.2213114754098,10.0333333333333
"Bryanskiy Les_Plant_Loc-16",30.2213114754098,10.0333333333333
"Bryanskiy Les_Plant_Loc-17",30.2213114754098,10.0333333333333
"Bryanskiy Les_Plant_Loc-18",30.272131147541,10.0209016393443
"Bryanskiy Les_Plant_Loc-19",30.272131147541,10.0209016393443
"Bryanskiy Les_Plant_Loc-2",30.2213114754098,10.0333333333333
"Bryanskiy Les_Plant_Loc-21",30.2213114754098,10.0333333333333
"Bryanskiy Les_Plant_Loc-22",30.2213114754098,10.0333333333333
"Bryanskiy Les_Plant_Loc-23",30.272131147541,10.0209016393443
"Bryanskiy Les_Plant_Loc-25",30.272131147541,10.0209016393443
"Bryanskiy Les_Plant_Loc-26",30.2213114754098,10.0333333333333
"Bryanskiy Les_Plant_Loc-3",30.2213114754098,10.0333333333333
"Bryanskiy Les_Plant_Loc-4",30.272131147541,10.0209016393443
"Bryanskiy Les_Plant_Loc-5",30.272131147541,10.0209016393443
"Bryanskiy Les_Plant_Loc-6",30.272131147541,10.0209016393443
"Bryanskiy Les_Plant_Loc-7",30.0688524590164,9.98688524590164
"Bryanskiy Les_Plant_Loc-9",30.0688524590164,9.98688524590164
"CarpathianBiosphereReserve_Kuzi-Tribushansky_Masyv",22.8311475409836,9.66024590163935
"Carpatian National Park",23.0639344262295,9.58101092896175
"Central'no-Chernozemnyj_Dubrava",31.0868852459016,10.1520491803279
"Central'no-Chernozemnyj_Step'",31.0868852459016,10.1520491803279
"Central'no-Lesnoj",29.8409836065574,8.65122950819672
"Chatkal'skij_4",26.6049180327869,11.677868852459
"Darvinskij",32.8016393442623,7.88278688524591
"FC_0001",25.4901639344262,3.83852459016394
"FC_0002",29.372131147541,3.62704918032787
"FC_0003",25.6344262295082,1.23551912568306
"FC_0004",29.9065573770492,2.92773224043716
"FC_0005",30.6229508196721,4.86762295081968
"FC_0006",33.9229508196721,4.63852459016394
"FC_0007",32.5786885245902,4.01338797814208
"FC_0008",33.3639344262295,2.71311475409836
"FC_0009",34.8114754098361,4.34699453551913
"FC_0010",32.2950819672131,6.36120218579235
"FC_0011",33,5.85669398907104
"FC_0012",33.3196721311475,6.64371584699454
"FC_0013",34.2049180327869,5.90177595628416
"FC_0014",35.3409836065574,4.83415300546448
"FC_0015",35.8262295081967,6.24248633879782
"FC_0016",36.1901639344262,2.53770491803279
"FC_0017",37.6983606557377,1.56775956284153
"FC_0018",39.4393442622951,2.1110655737705
"FC_0019",38.5770491803279,2.4412568306011
"FC_0020",36.5622950819672,3.45122950819672
"FC_0021",37.1573770491803,3.76010928961749
"FC_0022",36.5918032786885,4.95751366120219
"FC_0023",36.5131147540984,4.2292349726776
"FC_0024",36.6622950819672,5.27595628415301
"FC_0025",37.6081967213115,4.57336065573771
"FC_0026",39.9885245901639,3.2301912568306
"FC_0027",29.6655737704918,7.29030054644809
"FC_0028",31.1573770491803,5.38483606557377
"FC_0029",30.4655737704918,6.31325136612022
"FC_0030",32.4377049180328,6.51215846994536
"FC_0031",32.1245901639344,6.64289617486339
"FC_0032",32.8704918032787,6.77745901639345
"FC_0033",32.1245901639344,7.71734972677596
"FC_0034",33.0918032786885,7.47445355191257
"FC_0035",33.2819672131148,7.51188524590164
"FC_0036",33.9573770491803,6.43661202185793
"FC_0037",35.6803278688525,6.41816939890711
"FC_0038",27.5573770491803,8.63633879781421
"FC_0039",27.1524590163934,9.20109289617487
"FC_0040",26.7295081967213,10.2657103825137
"FC_0041",28.016393442623,9.57103825136612
"FC_0042",27.3098360655738,8.92991803278689
"FC_0043",27.3672131147541,10.1367486338798
"FC_0044",27.227868852459,8.96297814207651
"FC_0045",23.1213114754098,10.6976775956284
"FC_0046",27.5491803278689,10.3327868852459
"FC_0047",29.1606557377049,8.57090163934427
"FC_0048",29.1950819672131,8.32704918032787
"FC_0049",29.2803278688525,7.87622950819673
"FC_0050",28.3737704918033,8.83155737704918
"FC_0051",28.3540983606557,9.31543715846995
"FC_0052",29.1245901639344,9.25860655737705
"FC_0053",30.427868852459,8.73401639344263
"FC_0054",30.383606557377,8.01270491803279
"FC_0055",30.0819672131148,8.025
"FC_0056",29.6459016393443,9.28510928961749
"FC_0057",30.4868852459016,8.90300546448088
"FC_0058",33.3377049180328,7.74767759562842
"FC_0059",32.4344262295082,8.04494535519126
"FC_0060",32.5098360655738,8.17172131147541
"FC_0061",32.9,7.12418032786886
"FC_0062",33.1,7.69207650273224
"FC_0063",33.3573770491803,7.03251366120219
