"site","seasonality","mean_temp"
2761,21.9114754098361,13.7577868852459
1129,20.1344262295082,13.2116120218579
1876,20.2754098360656,13.7512295081967
2763,22.0295081967213,13.7700819672131
2615,20.5934426229508,11.726912568306
1539,20.1836065573771,13.707650273224
2225,22.0868852459016,12.7997267759563
4172,23.7704918032787,13.2565573770492
118,19.3606557377049,11.7498633879781
152,20.0360655737705,12.2766393442623
1072,22.1409836065574,13.5946721311475
1713,21.7819672131148,12.5978142076503
1974,22.3295081967213,13.693306010929
855,20.844262295082,13.0571038251366
977,20.3967213114754,13.3308743169399
244,19.7655737704918,11.8823770491803
1758,20.2786885245902,11.6218579234973
3482,22.6213114754098,13.5803278688525
4641,21.8508196721311,13.4707650273224
7015,26.0426229508197,15.1013661202186
766,21.9786885245902,13.1707650273224
1326,19.4704918032787,14.0321038251366
3023,22.5655737704918,14.3627049180328
3744,24.0622950819672,12.1144808743169
2009,22.5704918032787,13.595218579235
4340,23.816393442623,13.8780054644809
3378,23.6114754098361,12.7023224043716
911,19.5065573770492,13.2629781420765
3346,22.8016393442623,13.0378415300546
3014,23.2590163934426,13.0836065573771
3558,20.2901639344262,10.6285519125683
3526,23.3786885245902,12.6095628415301
810,20.0147540983607,13.0105191256831
3876,23.7459016393443,11.9016393442623
6620,23.8262295081967,12.247131147541
3945,23.9344262295082,12.7243169398907
4054,23.4114754098361,12.422131147541
6729,22.6934426229508,15.4331967213115
3827,24.3983606557377,13.0234972677596
143,19.0524590163934,11.7468579234973
656,22.2016393442623,13.603825136612
5246,20.6524590163934,11.5262295081967
4741,24.0245901639344,13.2657103825137
4848,23.4475409836066,12.8706284153005
5501,23.8639344262295,13.0784153005465
3484,23.7786885245902,13.0172131147541
5661,23.7213114754098,13.3516393442623
5158,21.2409836065574,12.1016393442623
6020,24.1016393442623,13.226912568306
5756,23.4016393442623,13.8364754098361
5507,23.9540983606557,12.9228142076503
5277,19.4803278688525,11.4849726775956
5213,22.0524590163934,12.3020491803279
5236,22.9,12.3393442622951
6410,22.7901639344262,12.4703551912568
6737,20.8983606557377,11.0392076502732
5449,22.1229508196721,8.6714480874317
20451,22.9524590163934,12.7155737704918
20449,24.5426229508197,16.4311475409836
5394,21.3704918032787,8.32486338797814
5237,23.4770491803279,12.624043715847
6869,22.7032786885246,17.5106557377049
6875,23.7901639344262,14.6551912568306
19291,25.6590163934426,16.4554644808743
19296,25.8213114754098,16.2601092896175
6866,24.3360655737705,14.679781420765
19297,23.727868852459,14.8823770491803
6868,25.5737704918033,14.7870218579235
20583,26.5901639344262,16.5035519125683
19299,20.2049180327869,19.6068306010929
20582,25.8262295081967,15.8162568306011
6714,19.2803278688525,8.38879781420765
19294,19.4393442622951,20.4015027322404
20452,21.5967213114754,15.3277322404372
1111,22.4885245901639,13.5668032786885
2489,22.4524590163934,12.7842896174863
450,21.4016393442623,13.6486338797814
7012,25.1295081967213,15.3351092896175
19292,22.8032786885246,17.1132513661202
3237,21.9672131147541,14.0840163934426
4852,24.1918032786885,13.2095628415301
6768,21.0262295081967,13.5275956284153
20584,27.7213114754098,19.2651639344262
6764,20.9524590163934,12.3513661202186
1466,19.8377049180328,14.1713114754098
6695,24.1049180327869,12.0739071038251
1165,18.6918032786885,12.200956284153
8273,9.75737704918033,13.5024590163934
6817,22.8836065573771,13.2438524590164
6727,17.9573770491803,5.64822404371585
19525,24.1245901639344,16.2968579234973
19529,25.5934426229508,16.1954918032787
19526,25.4147540983607,14.3087431693989
19527,24.1901639344262,14.3681693989071
6585,25.4081967213115,14.4655737704918
6596,22.9459016393443,11.3129781420765
6662,24.5180327868853,12.323087431694
6832,22.3590163934426,13.3741803278689
7156,28.1852459016393,8.14849726775957
7154,26.7426229508197,8.16762295081968
7159,28.1049180327869,7.76666666666667
7160,27.5639344262295,7.83838797814208
7163,30.2704918032787,7.32882513661203
7165,30.5393442622951,6.774043715847
7164,29.2475409836066,6.63155737704918
7166,30.3885245901639,6.08387978142077
7172,27.8606557377049,7.18784153005465
7168,30.4540983606557,5.90040983606558
7180,30.4655737704918,4.12090163934427
7175,31.4672131147541,3.6551912568306
7174,29.1065573770492,5.65040983606558
7181,27.8049180327869,3.55464480874317
7178,27.1590163934426,3.1438524590164
6892,25.7393442622951,14.6743169398907
6880,26.8688524590164,15.1084699453552
6912,25.4770491803279,13.4916666666667
6895,26.4475409836066,14.1751366120219
6929,26.1836065573771,13.7409836065574
6920,27.2491803278689,14.8049180327869
6887,24.6573770491803,13.1106557377049
6910,26.1147540983607,12.5351092896175
6927,23.9606557377049,11.9352459016393
6942,22.4803278688525,9.73852459016394
19486,24.0016393442623,11.9867486338798
19493,NA,NA
20620,24.4672131147541,12.9852459016393
20622,25.2098360655738,11.6303278688525
20631,24.7262295081967,12.5143442622951
20619,26.3032786885246,11.9982240437159
20630,25.2,13.6129781420765
20628,26.5639344262295,11.3751366120219
20617,25.7327868852459,12.5624316939891
20615,21.2295081967213,11.5266393442623
20621,25.8475409836066,12.5136612021858
20632,24.4180327868852,10.6075136612022
