"site","species","phenophase","mean_slope","mean_p","mean_se","sigma_slope","sigma_se","sigma_p","bp_p","n","mean_doy","min_year","max_year","mean_tmax","lat","lon","dataset","mean_slope_temp","mean_se_temp","mean_p_temp","sigma_slope_temp","sigma_se_temp","sigma_p_temp","bp_p_temp","n_temp"
"p_6620","Corylus avellana","first_flower",-0.263804034582185,0.15026481604856,0.179766886789095,-0.036195965417815,0.220094244604178,0.8702210725974,0.141509161837076,41,70.0243902439024,1975,2016,8.30487804878049,46.95,14.4167,"pep",-2.72040958000695,0.939691973373567,0.00618144547896654,0.220409580006941,0.807971212864342,0.786450969520929,0.791913123277173,41
"p_6596","Galanthus nivalis","first_flower",-0.414851164797268,0.0986773889533915,0.24367699740638,0.204324849007791,0.203866337448705,0.323982835952789,0.0178097529719402,33,73.2727272727273,1975,2010,6.45757575757576,48.45,14.3333,"pep",-3.46945792189154,1.07446778341388,0.0029347118345263,2.3187893310876,1.00565750113133,0.0279792123961293,0.191731931267292,33
"p_6620","Taraxacum officinale","first_flower",-0.073260601070438,0.631059002791807,0.151349897952873,-0.056313709345404,0.160898752529931,0.728225830559652,0.0260962711637586,41,110.19512195122,1975,2016,12.4268292682927,46.95,14.4167,"pep",-0.743887800871829,1.11747384251177,0.5095294940627,-0.577221134205162,1.05013789960211,0.585685189019634,0.123021595345482,41
"p_6596","Corylus avellana","first_flower",-0.319101049490083,0.20790984508192,0.248268318274849,0.274245388238303,0.241335668824364,0.264242665218005,0.224713875840312,34,77.0588235294118,1975,2010,6.67352941176471,48.45,14.3333,"pep",-4.47172771298001,0.908027917828666,2.47335888490605e-05,0.617535243880105,0.89541003189123,0.495374609674741,0.914004168818793,34
"p_19525","Betula pendula","first_leaf",-0.442948325609863,0.0778448187641663,0.232795004793803,-0.230827113488651,0.248297620659564,0.368311020794014,0.219370805071835,16,99.375,1975,2015,16.10625,44.8,15.8666,"pep",-4.989635461379,1.76688415018788,0.0135264059905874,-1.71475533407315,0.993636194974349,0.106387183605988,0.165420081596352,16
"p_6596","Betula pendula","first_leaf",-0.451151552940262,0.0138358102082452,0.172173833233107,-0.0672735938703754,0.1156088010127,0.565125828045221,0.556775788342462,31,117.709677419355,1975,2010,11.3225806451613,48.45,14.3333,"pep",-3.21023457288646,1.01295174225254,0.00358970928491797,-0.971494798132166,0.887015586513236,0.282424641575719,0.306044865927303,31
"p_6596","Aesculus hippocastanum","first_leaf",-0.409517637580138,0.000534007563465425,0.106014162442567,0.0129393631554972,0.0783241845417626,0.869857095202756,0.30219105800979,33,118.060606060606,1975,2010,11.4757575757576,48.45,14.3333,"pep",-2.37259247168721,0.644318516000664,0.00087567711434533,-0.81703691613166,0.747902332984632,0.283058029404591,0.0501082685785217,33
"p_6596","Fagus sylvatica","first_leaf",-0.151424614814246,0.398401343596215,0.176570369097016,-0.0899546955305812,0.195091670280827,0.648296231297196,0.884492134508176,30,122.1,1975,2010,11.2766666666667,48.45,14.3333,"pep",-2.29682987827064,1.07845266384784,0.0421196876213058,-0.135602554161799,1.14607199970857,0.906659335621738,0.921995085654359,30
"p_6596","Taraxacum officinale","first_flower",-0.583727141976592,0.000127083046135053,0.133381958748287,-0.048546903180097,0.165995408243512,0.771884025566575,0.0823394978530568,33,123.848484848485,1975,2010,17.0363636363636,48.45,14.3333,"pep",-2.47044152085753,0.932716796103424,0.0125983353885702,-1.12535619315983,1.33904783106079,0.407111165815714,0.777245320522911,33
"p_6596","Quercus robur","first_leaf",-0.311328030319712,0.0479164899006842,0.150236682734523,-0.190212394308644,0.101965802862832,0.0730194479038491,0.0803748370895629,29,123.793103448276,1975,2010,16.8,48.45,14.3333,"pep",-2.15886454183267,0.920219158835371,0.026568297483274,-1.26997565294378,0.898461735353957,0.168935155409011,0.124524286126849,29
"p_6596","Prunus avium","first_flower",-0.473045159858608,0.000458720587419537,0.121592500110963,-0.148334839190324,0.0935705682573095,0.122441912865892,0.242100367898258,35,123.314285714286,1975,2010,16.9828571428571,48.45,14.3333,"pep",-1.96269982238011,0.765343796467035,0.0150703141634383,-0.391271250951536,0.676055414460123,0.566683278969684,0.967523623810031,35
"p_6596","Picea abies","first_flower",0.0339921332491644,0.773882917621619,0.11717680390511,-0.190581829403355,0.145317410013915,0.200346327225687,0.0574381053501022,30,136.533333333333,1975,2010,17.2266666666667,48.45,14.3333,"pep",-0.107926736004892,0.823014230904835,0.896605477571965,0.28336533249612,0.769233305876287,0.715365120020234,0.862682088855942,30
"p_6620","Aesculus hippocastanum","first_flower",-0.339139563606442,0.0317072273557562,0.152206191541676,-0.182889563606386,0.152353406047074,0.237213419889883,0.168210437094634,41,134.560975609756,1975,2016,17.5390243902439,46.95,14.4167,"pep",-3.12594049732408,1.06437196319689,0.00553828562412415,-2.13038291598878,1.57302471091091,0.183428777046763,0.419907073623179,41
"p_6596","Prunus domestica","first_flower",-0.52691186364655,0.000201847453960712,0.12118205936754,-0.00707315893391216,0.133731809829087,0.958239428640527,0.60819560802217,27,131.222222222222,1975,2010,16.7740740740741,48.45,14.3333,"pep",-2.95489034884797,0.780036867552221,0.000851920080412285,-0.196323370654828,1.17681752609083,0.8688492308494,0.720039054366408,27
"p_6620","Syringa vulgaris","first_flower",-0.451663235899567,0.00758405765465122,0.160378624744137,-0.0733250521713317,0.103725051552394,0.483820413307339,0.896481414690425,41,134.634146341463,1975,2016,17.5390243902439,46.95,14.4167,"pep",-2.30794226818513,1.22598922113721,0.0672420735340371,-0.384865345108206,0.855892031259489,0.655440805038556,0.945545109102114,41
